IDP,1,2,4,8,16
10,21.6972,44.1401,86.8877,148.4703,268.9608
11,12.2725,22.4288,39.9300,57.3642,105.2043
13,14.2585,28.6989,57.5299,114.2184,219.4108
14,17.7235,35.1434,70.2330,139.6737,272.4801
2,12.9492,20.2155,39.8859,58.3531,106.1633
3,11.7710,23.4670,47.7185,93.6743,185.3526
6,12.5625,22.3981,40.4494,56.6782,105.3737
7,3.2680,6.7403,13.6394,27.1051,54.4615
8,3.4458,6.9632,13.9662,27.8290,55.6253
9,15.8121,31.7067,63.4881,126.2645,252.2278
imp,59.7509,118.4716,234.6175,466.3690,916.8709
ref,0.1614,0.3211,0.6457,1.2926,2.5825