IDP,1,2,4,8,16,32,64,128
10,7.0202,3.5279,1.7626,0.8846,0.4433,0.2263,0.1151,0.0537
11,12.5779,6.4770,3.2260,1.6543,0.9382,0.6787,0.3537,0.2030
13,7.6810,3.9384,2.0873,1.0564,0.5507,0.3119,0.2075,0.1971
14,6.2223,3.1454,1.5895,0.7972,0.4076,0.2217,0.2118,0.2081
2,9.8263,5.2894,2.7110,1.4533,0.8920,0.7094,0.4375,0.3402
3,9.3430,4.6825,2.3691,1.2004,0.6281,0.3513,0.2341,0.2284
6,16.7227,8.7233,4.3890,2.2361,1.1962,0.7342,0.3814,0.2028
7,33.9314,22.5918,11.3108,5.6488,2.8384,2.5444,2.3755,2.6289
8,32.6331,16.3285,8.2018,4.1041,2.0535,1.0233,0.5076,0.2517
9,8.7763,4.4088,2.2033,1.1008,0.5510,0.2752,0.1395,0.0706
imp,2.2516,1.1233,0.5641,0.2841,0.1424,0.0720,0.0363,0.0192
ref,859.0148,430.1922,215.0501,107.5782,53.7841,26.9248,13.4642,6.7367