BITS,1,2,4,8,16,32,64,128
1,30.2697,15.1896,7.7118,6.0483,6.0914,3.1291,2.7966,1.8968
2,11.6415,5.9981,3.2625,2.2155,1.7761,1.6672,1.0859,0.8070
3,8.2109,4.2603,2.4764,1.6958,1.2434,0.9026,0.7054,0.4487
4,6.3077,3.2519,1.8980,1.2768,0.9948,0.6581,0.4816,0.3243
5,6.1602,3.1589,1.7369,1.0656,0.7392,0.5990,0.3843,0.2656
6,6.8888,3.5105,1.8611,1.0652,0.7072,0.4724,0.3293,0.2190
7,5.4559,2.8473,1.5548,0.8785,0.6066,0.4218,0.3160,0.2038
8,5.4198,2.8244,1.5820,1.0528,0.8611,0.5088,0.2883,0.1919
9,4.8191,2.4809,1.3226,0.7531,0.5109,0.3855,0.2847,0.2069
10,5.0275,2.5993,1.3931,0.8007,0.5306,0.3658,0.2535,0.1930
11,4.7559,2.4883,1.3222,0.7407,0.4901,0.3333,0.2191,0.1740
12,5.1204,2.6248,1.3901,0.7912,0.5224,0.3445,0.2387,0.1846
13,4.7535,2.4353,1.2923,0.7286,0.4736,0.3182,0.2268,0.1861
14,4.8574,2.4924,1.3412,0.7454,0.4873,0.3337,0.2424,0.2265
15,4.9946,2.5739,1.3618,0.7527,0.5019,0.3454,0.2816,0.3685
16,4.7481,2.4294,1.2796,0.7098,0.4672,0.3382,0.2868,0.4821
17,4.8204,2.4738,1.3092,0.7255,0.4803,0.4156,0.4686,0.7845
18,5.0272,2.5981,1.3776,0.7617,0.5491,0.6346,0.7971,1.3879
19,5.61,2.918,1.5448,0.8609,0.6864,0.8559,1.1949,2.46
20,6.2233,3.2426,1.735,0.9903,0.8053,1.133,1.8995,4.3769